SP_GEOMETRY,CommonName,Easting,Northing
System.__ComObject,Whitethroat,472000,188000
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,467800,174300
System.__ComObject,Whitethroat,467800,174300
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,213900
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,455500,213200
System.__ComObject,Whitethroat,471400,171900
System.__ComObject,Whitethroat,471400,171900
System.__ComObject,Whitethroat,471400,171900
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,454500,208200
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,456300,213700
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,455600,212700
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456300,213700
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,455500,213200
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,455500,214400
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,456200,214400
System.__ComObject,Whitethroat,456200,214400
System.__ComObject,Whitethroat,455500,213200
System.__ComObject,Whitethroat,455500,213200
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456200,214400
System.__ComObject,Whitethroat,456200,214400
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456500,212700
System.__ComObject,Whitethroat,456500,212700
System.__ComObject,Whitethroat,456500,212700
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,448500,217800
System.__ComObject,Whitethroat,444600,218080
System.__ComObject,Whitethroat,435387,201220
System.__ComObject,Whitethroat,459900,211700
System.__ComObject,Whitethroat,462440,201140
System.__ComObject,Whitethroat,462440,201140
System.__ComObject,Whitethroat,423800,190300
System.__ComObject,Whitethroat,423800,190300
System.__ComObject,Whitethroat,436960,163990
System.__ComObject,Whitethroat,436960,163990
System.__ComObject,Whitethroat,452600,204100
System.__ComObject,Whitethroat,461400,208000
System.__ComObject,Whitethroat,462200,225800
System.__ComObject,Whitethroat,462200,225800
System.__ComObject,Whitethroat,478450,175690
System.__ComObject,Whitethroat,478450,175690
System.__ComObject,Whitethroat,485170,179940
System.__ComObject,Whitethroat,485620,162890
System.__ComObject,Whitethroat,435376,200464
System.__ComObject,Whitethroat,472000,188000
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,470000,170200
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,443712,242609
System.__ComObject,Whitethroat,480700,162400
System.__ComObject,Whitethroat,480700,162400
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,483984,162752
System.__ComObject,Whitethroat,483984,162752
System.__ComObject,Whitethroat,484140,162668
System.__ComObject,Whitethroat,484385,162476
System.__ComObject,Whitethroat,484591,162872
System.__ComObject,Whitethroat,484591,162872
System.__ComObject,Whitethroat,484701,162992
System.__ComObject,Whitethroat,484790,163168
System.__ComObject,Whitethroat,484790,163168
System.__ComObject,Whitethroat,484790,163168
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,464053,219964
System.__ComObject,Whitethroat,464053,219964
System.__ComObject,Whitethroat,435586,201300
System.__ComObject,Whitethroat,436669,200872
System.__ComObject,Whitethroat,459918,185384
System.__ComObject,Whitethroat,436492,200865
System.__ComObject,Whitethroat,435310,201051
System.__ComObject,Whitethroat,435404,199914
System.__ComObject,Whitethroat,435994,200765
System.__ComObject,Whitethroat,484701,162992
System.__ComObject,Whitethroat,435994,200765
System.__ComObject,Whitethroat,435376,200464
System.__ComObject,Whitethroat,435628,201115
System.__ComObject,Whitethroat,434849,200142
System.__ComObject,Whitethroat,436244,201010
System.__ComObject,Whitethroat,462141,201199
System.__ComObject,Whitethroat,435387,201220
System.__ComObject,Whitethroat,459918,185384
System.__ComObject,Whitethroat,435830,200503
System.__ComObject,Whitethroat,433677,168820
System.__ComObject,Whitethroat,463684,220024
System.__ComObject,Whitethroat,453782,227088
System.__ComObject,Whitethroat,436669,200872
System.__ComObject,Whitethroat,453713,227398
System.__ComObject,Whitethroat,437051,164091
System.__ComObject,Whitethroat,436244,201360
System.__ComObject,Whitethroat,483863,162845
System.__ComObject,Whitethroat,435999,201519
System.__ComObject,Whitethroat,483984,162752
System.__ComObject,Whitethroat,437051,164091
System.__ComObject,Whitethroat,435999,201519
System.__ComObject,Whitethroat,453569,227254
System.__ComObject,Whitethroat,459247,214096
System.__ComObject,Whitethroat,435340,200574
System.__ComObject,Whitethroat,484385,162476
System.__ComObject,Whitethroat,484701,162992
System.__ComObject,Whitethroat,464053,219964
System.__ComObject,Whitethroat,453817,227274
System.__ComObject,Whitethroat,460532,214022
System.__ComObject,Whitethroat,435340,200574
System.__ComObject,Whitethroat,436108,200980
System.__ComObject,Whitethroat,436543,201361
System.__ComObject,Whitethroat,436543,201361
System.__ComObject,Whitethroat,463684,220024
System.__ComObject,Whitethroat,460297,185658
System.__ComObject,Whitethroat,484834,162965
System.__ComObject,Whitethroat,459019,214294
System.__ComObject,Whitethroat,459247,214096
System.__ComObject,Whitethroat,435147,199623
System.__ComObject,Whitethroat,435857,200965
System.__ComObject,Whitethroat,435857,200965
System.__ComObject,Whitethroat,459966,214967
System.__ComObject,Whitethroat,460054,214630
System.__ComObject,Whitethroat,435018,200384
System.__ComObject,Whitethroat,464182,219954
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435994,200765
System.__ComObject,Whitethroat,463883,219994
System.__ComObject,Whitethroat,436392,201577
System.__ComObject,Whitethroat,434849,200142
System.__ComObject,Whitethroat,460097,185491
System.__ComObject,Whitethroat,459918,185384
System.__ComObject,Whitethroat,459736,185260
System.__ComObject,Whitethroat,484790,163168
System.__ComObject,Whitethroat,484264,163082
System.__ComObject,Whitethroat,464182,219954
System.__ComObject,Whitethroat,453569,227254
System.__ComObject,Whitethroat,459966,214967
System.__ComObject,Whitethroat,459966,214967
System.__ComObject,Whitethroat,459966,214967
System.__ComObject,Whitethroat,460532,214022
System.__ComObject,Whitethroat,460156,214363
System.__ComObject,Whitethroat,435999,201519
System.__ComObject,Whitethroat,435147,199623
System.__ComObject,Whitethroat,435521,200474
System.__ComObject,Whitethroat,484626,163023
System.__ComObject,Whitethroat,484414,163148
System.__ComObject,Whitethroat,459736,185260
System.__ComObject,Whitethroat,484385,162476
System.__ComObject,Whitethroat,484485,162686
System.__ComObject,Whitethroat,484701,162992
System.__ComObject,Whitethroat,476650,200650
System.__ComObject,Whitethroat,459800,222200
System.__ComObject,Whitethroat,460170,185630
System.__ComObject,Whitethroat,459250,213930
System.__ComObject,Whitethroat,448000,210620
System.__ComObject,Whitethroat,423970,189930
System.__ComObject,Whitethroat,462440,201140
System.__ComObject,Whitethroat,462440,201140
System.__ComObject,Whitethroat,462440,201140
System.__ComObject,Whitethroat,456400,218600
System.__ComObject,Whitethroat,456400,218600
System.__ComObject,Whitethroat,427500,185730
System.__ComObject,Whitethroat,445800,243100
System.__ComObject,Whitethroat,462900,216300
System.__ComObject,Whitethroat,441200,204400
System.__ComObject,Whitethroat,428000,212800
System.__ComObject,Whitethroat,436630,201100
System.__ComObject,Whitethroat,435290,200070
System.__ComObject,Whitethroat,436630,201100
System.__ComObject,Whitethroat,435290,200070
System.__ComObject,Whitethroat,452310,203700
System.__ComObject,Whitethroat,460170,185630
System.__ComObject,Whitethroat,460170,185630
System.__ComObject,Whitethroat,459250,213930
System.__ComObject,Whitethroat,459250,213930
System.__ComObject,Whitethroat,459250,213930
System.__ComObject,Whitethroat,459250,213930
System.__ComObject,Whitethroat,459250,213930
System.__ComObject,Whitethroat,436630,201100
System.__ComObject,Whitethroat,425200,220350
System.__ComObject,Whitethroat,425200,220350
System.__ComObject,Whitethroat,435290,200070
System.__ComObject,Whitethroat,436700,200780
System.__ComObject,Whitethroat,435340,201130
System.__ComObject,Whitethroat,436700,200780
System.__ComObject,Whitethroat,437130,200810
System.__ComObject,Whitethroat,437130,200810
System.__ComObject,Whitethroat,437130,200810
System.__ComObject,Whitethroat,452000,220300
System.__ComObject,Whitethroat,438600,201700
System.__ComObject,Whitethroat,456400,199500
System.__ComObject,Whitethroat,439050,242660
System.__ComObject,Whitethroat,439050,242660
System.__ComObject,Whitethroat,439050,242660
System.__ComObject,Whitethroat,439050,242660
System.__ComObject,Whitethroat,457300,214400
System.__ComObject,Whitethroat,457400,213300
System.__ComObject,Whitethroat,433000,200200
System.__ComObject,Whitethroat,454100,212600
System.__ComObject,Whitethroat,464300,193700
System.__ComObject,Whitethroat,430800,209600
System.__ComObject,Whitethroat,473500,174700
System.__ComObject,Whitethroat,434100,195900
System.__ComObject,Whitethroat,424300,196600
System.__ComObject,Whitethroat,474500,175400
System.__ComObject,Whitethroat,444500,220400
System.__ComObject,Whitethroat,435800,231500
System.__ComObject,Whitethroat,436500,231300
System.__ComObject,Whitethroat,438900,202200
System.__ComObject,Whitethroat,423980,212670
System.__ComObject,Whitethroat,456500,205900
System.__ComObject,Whitethroat,452400,204500
System.__ComObject,Whitethroat,454400,202300
System.__ComObject,Whitethroat,448300,209400
System.__ComObject,Whitethroat,436900,215000
System.__ComObject,Whitethroat,437800,188400
System.__ComObject,Whitethroat,476600,200700
System.__ComObject,Whitethroat,476600,200700
System.__ComObject,Whitethroat,449700,185900
System.__ComObject,Whitethroat,433500,226000
System.__ComObject,Whitethroat,425900,198700
System.__ComObject,Whitethroat,440400,204500
System.__ComObject,Whitethroat,440400,202400
System.__ComObject,Whitethroat,439400,216500
System.__ComObject,Whitethroat,447000,195900
System.__ComObject,Whitethroat,441000,191200
System.__ComObject,Whitethroat,447300,196200
System.__ComObject,Whitethroat,444400,217000
System.__ComObject,Whitethroat,427900,230600
System.__ComObject,Whitethroat,424600,207300
System.__ComObject,Whitethroat,425000,207000
System.__ComObject,Whitethroat,425800,214200
System.__ComObject,Whitethroat,423700,214900
System.__ComObject,Whitethroat,422000,211400
System.__ComObject,Whitethroat,423600,215100
System.__ComObject,Whitethroat,427500,213800
System.__ComObject,Whitethroat,459400,184400
System.__ComObject,Whitethroat,435150,220600
System.__ComObject,Whitethroat,454500,183400
System.__ComObject,Whitethroat,447400,240500
System.__ComObject,Whitethroat,450300,186400
System.__ComObject,Whitethroat,436100,202800
System.__ComObject,Whitethroat,434300,221000
System.__ComObject,Whitethroat,443200,209000
System.__ComObject,Whitethroat,448700,210800
System.__ComObject,Whitethroat,433500,226000
System.__ComObject,Whitethroat,439500,246600
System.__ComObject,Whitethroat,473000,193500
System.__ComObject,Whitethroat,434500,220500
System.__ComObject,Whitethroat,430300,216800
System.__ComObject,Whitethroat,440174,201738
System.__ComObject,Whitethroat,440254,201774
System.__ComObject,Whitethroat,440728,201765
System.__ComObject,Whitethroat,473800,179700
System.__ComObject,Whitethroat,440528,202198
System.__ComObject,Whitethroat,440156,201779
System.__ComObject,Whitethroat,440416,201124
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,464000,188800
System.__ComObject,Whitethroat,438800,187000
System.__ComObject,Whitethroat,438300,243400
System.__ComObject,Whitethroat,460200,225000
System.__ComObject,Whitethroat,460200,225000
System.__ComObject,Whitethroat,426600,211400
System.__ComObject,Whitethroat,448790,209910
System.__ComObject,Whitethroat,442830,219640
System.__ComObject,Whitethroat,440250,202114
System.__ComObject,Whitethroat,440278,202197
System.__ComObject,Whitethroat,440357,202277
System.__ComObject,Whitethroat,451300,210230
System.__ComObject,Whitethroat,439581,202534
System.__ComObject,Whitethroat,439503,202623
System.__ComObject,Whitethroat,439490,202600
System.__ComObject,Whitethroat,440158,201589
System.__ComObject,Whitethroat,439878,202411
System.__ComObject,Whitethroat,440387,201386
System.__ComObject,Whitethroat,440378,201296
System.__ComObject,Whitethroat,440526,200457
System.__ComObject,Whitethroat,460200,225000
System.__ComObject,Whitethroat,460300,194300
System.__ComObject,Whitethroat,441000,243000
System.__ComObject,Whitethroat,460200,225000
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,434888,199905
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,459019,214294
System.__ComObject,Whitethroat,435628,201115
System.__ComObject,Whitethroat,483863,162845
System.__ComObject,Whitethroat,483984,162752
System.__ComObject,Whitethroat,460111,185498
System.__ComObject,Whitethroat,460097,185491
System.__ComObject,Whitethroat,460780,210970
System.__ComObject,Whitethroat,460600,211100
System.__ComObject,Whitethroat,460600,211100
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,452400,203500
System.__ComObject,Whitethroat,444400,183500
System.__ComObject,Whitethroat,435100,214700
System.__ComObject,Whitethroat,435100,214700
System.__ComObject,Whitethroat,440343,202232
System.__ComObject,Whitethroat,440377,202234
System.__ComObject,Whitethroat,456000,206500
System.__ComObject,Whitethroat,440600,201582
System.__ComObject,Whitethroat,439849,202378
System.__ComObject,Whitethroat,440095,200620
System.__ComObject,Whitethroat,444200,234100
System.__ComObject,Whitethroat,424400,206800
System.__ComObject,Whitethroat,424940,206780
System.__ComObject,Whitethroat,424840,206570
System.__ComObject,Whitethroat,424430,206890
System.__ComObject,Whitethroat,441800,241400
System.__ComObject,Whitethroat,445900,242200
System.__ComObject,Whitethroat,459300,210000
System.__ComObject,Whitethroat,452300,203200
System.__ComObject,Whitethroat,455500,209600
System.__ComObject,Whitethroat,442200,235400
System.__ComObject,Whitethroat,472000,188000
System.__ComObject,Whitethroat,473500,174500
System.__ComObject,Whitethroat,439500,184800
System.__ComObject,Whitethroat,452300,204600
System.__ComObject,Whitethroat,456300,217500
System.__ComObject,Whitethroat,442500,235500
System.__ComObject,Whitethroat,448400,217800
System.__ComObject,Whitethroat,446900,221100
System.__ComObject,Whitethroat,456500,206200
System.__ComObject,Whitethroat,445200,199600
System.__ComObject,Whitethroat,451800,193000
System.__ComObject,Whitethroat,446700,199500
System.__ComObject,Whitethroat,450000,192000
System.__ComObject,Whitethroat,423600,215100
System.__ComObject,Whitethroat,448700,210700
System.__ComObject,Whitethroat,448700,210700
System.__ComObject,Whitethroat,450400,208000
System.__ComObject,Whitethroat,448500,217500
System.__ComObject,Whitethroat,425800,214000
System.__ComObject,Whitethroat,454100,212600
System.__ComObject,Whitethroat,441300,200400
System.__ComObject,Whitethroat,440100,213600
System.__ComObject,Whitethroat,440100,213600
System.__ComObject,Whitethroat,476600,200500
System.__ComObject,Whitethroat,425000,220500
System.__ComObject,Whitethroat,446700,201200
System.__ComObject,Whitethroat,473000,197000
System.__ComObject,Whitethroat,455600,209600
System.__ComObject,Whitethroat,455400,197000
System.__ComObject,Whitethroat,472300,195700
System.__ComObject,Whitethroat,459500,183600
System.__ComObject,Whitethroat,451200,202200
System.__ComObject,Whitethroat,443000,191600
System.__ComObject,Whitethroat,447500,217500
System.__ComObject,Whitethroat,450500,186500
System.__ComObject,Whitethroat,470200,205700
System.__ComObject,Whitethroat,425000,220500
System.__ComObject,Whitethroat,449400,205500
System.__ComObject,Whitethroat,425200,223200
System.__ComObject,Whitethroat,457300,192900
System.__ComObject,Whitethroat,457000,213400
System.__ComObject,Whitethroat,457900,195400
System.__ComObject,Whitethroat,455500,206600
System.__ComObject,Whitethroat,451700,228700
System.__ComObject,Whitethroat,425000,220500
System.__ComObject,Whitethroat,457000,192800
System.__ComObject,Whitethroat,447300,210900
System.__ComObject,Whitethroat,472000,188000
System.__ComObject,Whitethroat,457700,220900
System.__ComObject,Whitethroat,456000,205400
System.__ComObject,Whitethroat,456700,205900
System.__ComObject,Whitethroat,449000,208500
System.__ComObject,Whitethroat,453300,204700
System.__ComObject,Whitethroat,471800,187900
System.__ComObject,Whitethroat,471800,187900
System.__ComObject,Whitethroat,435340,201130
System.__ComObject,Whitethroat,478500,175700
System.__ComObject,Whitethroat,436200,209500
System.__ComObject,Whitethroat,436200,209500
System.__ComObject,Whitethroat,447300,210900
System.__ComObject,Whitethroat,447300,210900
System.__ComObject,Whitethroat,447300,210900
System.__ComObject,Whitethroat,446950,225840
